FREQ;Frequency;TENOR;Tenor;INSTRUMENT_TYPE;Instrument Type;DECIMALS;Decimals;TIME_PERIOD;OBS_VALUE
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-01-17;3.634
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-01-18;3.563
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-01-19;3.565
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-01-22;3.519
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-01-23;3.545
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-01-24;3.572
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-01-25;3.58
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-01-26;3.627
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-01-29;3.585
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-01-30;3.589
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-01-31;3.484
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-02-01;3.473
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-02-02;3.555
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-02-05;3.659
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-02-06;3.632
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-02-07;3.611
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-02-08;3.648
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-02-09;3.694
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-02-12;3.699
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-02-13;3.777
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-02-14;3.869
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-02-15;3.811
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-02-16;3.899
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-02-19;3.952
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-02-20;3.933
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-02-21;3.927
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-02-22;3.931
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-02-23;3.926
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-02-26;3.937
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-02-27;3.947
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-02-28;3.939
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-02-29;3.907
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-03-01;3.89
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-03-04;3.837
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-03-05;3.812
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-03-06;3.816
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-03-07;3.755
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-03-08;3.635
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-03-11;3.575
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-03-12;3.535
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-03-13;3.567
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-03-14;3.627
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-03-15;3.697
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-03-18;3.746
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-03-19;3.764
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-03-20;3.737
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-03-21;3.713
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-03-22;3.636
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-03-25;3.661
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-03-26;3.662
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-03-27;3.637
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-04-02;3.778
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-04-03;3.828
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-04-04;3.747
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-04-05;3.76
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-04-08;3.834
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-04-09;3.823
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-04-10;3.836
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-04-11;3.897
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-04-12;3.809
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-04-15;3.899
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-04-16;3.99
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-04-17;3.97
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-04-18;3.959
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-04-19;3.977
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-04-22;3.993
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-04-23;3.973
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-04-24;3.943
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-04-25;3.944
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-04-26;3.868
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-04-29;3.866
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-04-30;3.89
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-05-02;3.85
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-05-03;3.77
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-05-06;3.714
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-05-07;3.668
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-05-08;3.722
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-05-10;3.744
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-05-13;3.76
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-05-14;3.788
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-05-15;3.751
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-05-16;3.733
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-05-21;3.751
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-05-22;3.751
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-05-23;3.777
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-05-24;3.808
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-05-27;3.791
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-05-28;3.765
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-05-29;3.793
